Laptop Name,Laptop Link,Laptop Price,Laptop Reviews,Laptop Location
"HP Probook 640 G2 14"" , Core i5-6300U 2.4GHz, 8GB RAM, 500GB HDD Drive, Windows 10 Pro 64Bit,",https://www.daraz.pk/products/hp-probook-640-g2-14-fhd-core-i5-6300u-24ghz-8gb-ram-500gb-hdd-drive-windows-10-pro-64bit-i269382144-s1483355617.html?search=1,"Rs. 44,999",-50,Pakistan
"Daraz Like New Laptops - Dell Latitude 6530, Core i5 3rd generation, 8GB Ram, 500GB Hard Drive, 15.6"" Led Display, Numeric Keypad (Windows 10 Registered) FREE LAPTOP BAG",https://www.daraz.pk/products/daraz-like-new-laptops-dell-latitude-6530-core-i5-3rd-generation-8gb-ram-500gb-hard-drive-156-led-display-numeric-keypad-windows-10-registered-free-laptop-bag-i407513989-s1956099518.html?search=1,"Rs. 31,999",-10,Pakistan
Hp Elitebook 820 G3 - Core i5 6th Generation - 8GB DDR4 RAM - 256GB SSD - 12.5inch Screen - FREE LAPTOP BAG,https://www.daraz.pk/products/hp-820-g3-6th-i5-8gb-ddr4-256gb-ssd-i257192748-s1474080023.html?search=1,"Rs. 45,999",-46,Pakistan
"Daraz Like New Laptops - Apple MacBook Air A1466 Early 2015 With 1.6GHz Intel Core i5 (13.3 inch, 4GB RAM, 128GB) Silver",https://www.daraz.pk/products/daraz-like-new-laptops-apple-macbook-air-a1466-early-2015-with-16ghz-intel-core-i5-133-inch-4gb-ram-128gb-silver-i378462299-s1866342307.html?search=1,"Rs. 59,999",-12,Free Shipping
Hp Elitebook 820 G3 - Core i5 6th Generation - 8GB DDR4 RAM - 128GB SSD - 500GB HDD -12.5inch Screen - FREE LAPTOP BAG (Windows 11 Licensed),https://www.daraz.pk/products/hp-elitebook-820-g3-core-i5-6th-generation-8gb-ddr4-ram-128gb-ssd-500gb-hdd-125inch-screen-free-laptop-bag-windows-11-licensed-i416217439-s1977135986.html?search=1,"Rs. 44,999",-1,Pakistan
Daraz Like New Laptops - Dell Chromebook 11 3189 - 360 TouchScreen - Intel Celeron N3060 - 4GB Ram - 16GB SSD With Play Store - PUBG Supported - With Box/Bag,https://www.daraz.pk/products/daraz-like-new-laptops-dell-chromebook-11-3189-360-touchscreen-intel-celeron-n3060-4gb-ram-16gb-ssd-with-play-store-pubg-supported-with-boxbag-i413164955-s1970889900.html?search=1,"Rs. 15,839",-3,Free Shipping
Daraz Like New Laptops - HP EliteBook 1040 G3-14” LED - Intel core i5 6th Generation (6300u) - 8GB RAM - 256GB SSD - Windows 10 (Activated),https://www.daraz.pk/products/daraz-like-new-laptops-hp-elitebook-1040-g3-14-led-intel-core-i5-6th-generation-6300u-8gb-ram-256gb-ssd-windows-10-activated-i365610603-s1817902748.html?search=1,"Rs. 57,999",-5,Pakistan
Lenovo | N23 | 6th Gen | 16GB SSD Storage | 4GB RAM | 11.6″ Display | Rotatable Camera | PlayStore Supported | Chromebook,https://www.daraz.pk/products/lenovo-n23-6th-gen-16gb-ssd-storage-4gb-ram-116-display-rotatable-camera-playstore-supported-i421962419-s1996049915.html?search=1,"Rs. 11,500",-2,Free Shipping
Lenovo ThinkPad x131e Laptop | AMD Processor | 4GB RAM DD3 | 320GB HDD,https://www.daraz.pk/products/lenovo-thinkpad-x131e-laptop-amd-processor-4gb-ram-dd3-320gb-hdd-i146360783-s1309638253.html?search=1,"Rs. 14,500",-36,Free Shipping
Daraz Like New Laptops - HP EliteBook 840 G3 - Core i5 6th Generation - 8 GB RAM - 128GB SSD 500GB HDD- 14inch Screen - FREE LAPTOP BAG (WINDOWS 10 REGISTERED),https://www.daraz.pk/products/daraz-like-new-laptops-hp-elitebook-840-g3-core-i5-6th-generation-8-gb-ram-128gb-ssd-500gb-hdd-14inch-screen-free-laptop-bag-windows-10-registered-i365602909-s1817894808.html?search=1,"Rs. 52,999",-28,Pakistan
